127,7,Stanford University,"Stanford, CA"
128,8,Duke University,"Durham, NC"
129,8,University of Pennsylvania,"Philadelphia, PA"
130,10,Johns Hopkins University,"Baltimore, MD"
131,10,Northwestern University,"Evanston, IL"
132,12,California Institute of Technology,"Pasadena, CA"
133,12,Dartmouth College,"Hanover, NH"
134,14,Brown University,"Providence, RI"
135,14,Vanderbilt University,"Nashville, TN"
136,16,Cornell University,"Ithaca, NY"
137,16,Rice University,"Houston, TX"
138,18,University of Notre Dame,"Notre Dame, IN"
139,19,University of California--Los Angeles,"Los Angeles, CA"
140,19,Washington University in St. Louis,"St. Louis, MO"
141,1,Princeton University,"Princeton, NJ"
142,2,Harvard University,"Cambridge, MA"
143,3,Columbia University,"New York, NY"
144,3,Massachusetts Institute of Technology,"Cambridge, MA"
145,3,University of Chicago,"Chicago, IL"
146,3,Yale University,"New Haven, CT"
147,7,Stanford University,"Stanford, CA"
148,8,Duke University,"Durham, NC"
149,8,University of Pennsylvania,"Philadelphia, PA"
150,10,Johns Hopkins University,"Baltimore, MD"
151,10,Northwestern University,"Evanston, IL"
152,12,California Institute of Technology,"Pasadena, CA"
153,12,Dartmouth College,"Hanover, NH"
154,14,Brown University,"Providence, RI"
155,14,Vanderbilt University,"Nashville, TN"
156,16,Cornell University,"Ithaca, NY"
157,16,Rice University,"Houston, TX"
158,18,University of Notre Dame,"Notre Dame, IN"
159,19,University of California--Los Angeles,"Los Angeles, CA"
160,19,Washington University in St. Louis,"St. Louis, MO"
161,1,Princeton University,"Princeton, NJ"
162,2,Harvard University,"Cambridge, MA"
163,3,Columbia University,"New York, NY"
164,3,Massachusetts Institute of Technology,"Cambridge, MA"
165,3,University of Chicago,"Chicago, IL"
166,3,Yale University,"New Haven, CT"
167,7,Stanford University,"Stanford, CA"
168,8,Duke University,"Durham, NC"
169,8,University of Pennsylvania,"Philadelphia, PA"
170,10,Johns Hopkins University,"Baltimore, MD"
171,10,Northwestern University,"Evanston, IL"
172,12,California Institute of Technology,"Pasadena, CA"
173,12,Dartmouth College,"Hanover, NH"
174,14,Brown University,"Providence, RI"
175,14,Vanderbilt University,"Nashville, TN"
176,16,Cornell University,"Ithaca, NY"
177,16,Rice University,"Houston, TX"
178,18,University of Notre Dame,"Notre Dame, IN"
179,19,University of California--Los Angeles,"Los Angeles, CA"
180,19,Washington University in St. Louis,"St. Louis, MO"
181,1,Princeton University,"Princeton, NJ"
182,2,Harvard University,"Cambridge, MA"
183,3,Columbia University,"New York, NY"
184,3,Massachusetts Institute of Technology,"Cambridge, MA"
185,3,University of Chicago,"Chicago, IL"
186,3,Yale University,"New Haven, CT"
187,7,Stanford University,"Stanford, CA"
188,8,Duke University,"Durham, NC"
189,8,University of Pennsylvania,"Philadelphia, PA"
190,10,Johns Hopkins University,"Baltimore, MD"
191,10,Northwestern University,"Evanston, IL"
192,12,California Institute of Technology,"Pasadena, CA"
193,12,Dartmouth College,"Hanover, NH"
194,14,Brown University,"Providence, RI"
195,14,Vanderbilt University,"Nashville, TN"
196,16,Cornell University,"Ithaca, NY"
197,16,Rice University,"Houston, TX"
198,18,University of Notre Dame,"Notre Dame, IN"
199,19,University of California--Los Angeles,"Los Angeles, CA"
200,19,Washington University in St. Louis,"St. Louis, MO"
201,1,Princeton University,"Princeton, NJ"
202,2,Harvard University,"Cambridge, MA"
203,3,Columbia University,"New York, NY"
204,3,Massachusetts Institute of Technology,"Cambridge, MA"
205,3,University of Chicago,"Chicago, IL"
206,3,Yale University,"New Haven, CT"
207,7,Stanford University,"Stanford, CA"
208,8,Duke University,"Durham, NC"
209,8,University of Pennsylvania,"Philadelphia, PA"
210,10,Johns Hopkins University,"Baltimore, MD"
211,10,Northwestern University,"Evanston, IL"
212,12,California Institute of Technology,"Pasadena, CA"
213,12,Dartmouth College,"Hanover, NH"
214,14,Brown University,"Providence, RI"
215,14,Vanderbilt University,"Nashville, TN"
216,16,Cornell University,"Ithaca, NY"
217,16,Rice University,"Houston, TX"
218,18,University of Notre Dame,"Notre Dame, IN"
219,19,University of California--Los Angeles,"Los Angeles, CA"
220,19,Washington University in St. Louis,"St. Louis, MO"
